,movie_id,year,rating,running_time,country,age_limit,genre,director,netflix,wavve,tving,disney,watcha,coupang,naver
9737,70906,2018,100.0,8,미국,중국,미정,바비 폰틸라스,0,0,0,0,0,0,0
9738,70908,2013,0.0,7,네덜란드,미정,드라마,요스트 리우마,0,0,0,0,0,0,0
9739,70912,2013,0.0,8,일본,미정,애니메이션,무라모토 사키,0,0,0,0,0,0,0
9740,70914,2015,0.0,8,스페인,미정,애니메이션,라파엘 카노 멘데즈,0,0,0,0,0,0,0
9741,70915,2017,0.0,117,이탈리아,스위스,청소년관람불가,실비오 솔디니,0,0,0,0,1,0,1
9742,70918,2016,0.0,87,미국,15세이상관람가,스릴러,에로스 단토나,0,0,0,0,1,0,1
9743,70919,2017,0.0,117,미국,미정,드라마,숀 크리스텐슨,0,0,0,0,0,0,1
9744,70920,2017,0.0,122,이탈리아,미정,드라마,파비오 그라사도니아,0,0,0,0,0,0,0
9745,70921,2018,0.0,95,미국,중국,미정,하오 위,0,0,0,0,0,0,0
9746,70922,2018,0.0,90,미국,중국,미정,존 마링고인,0,0,0,0,0,0,0
9747,70924,2017,0.0,80,미국,영국,미정,아스리 벤다샤,0,0,0,0,0,0,0
9748,70926,2017,0.0,104,인도,청소년관람불가,드라마,데바시스 마키자,0,0,0,0,0,0,0
9749,70927,2016,0.0,1,인도,전체관람가,애니메이션,바입하브 쿠마레쉬,0,0,0,0,0,0,0
9750,70928,2016,0.0,1,인도,전체관람가,애니메이션,바입하브 쿠마레쉬,0,0,0,0,0,0,0
9751,70933,2012,0.0,10,영국,미정,코미디,티모시 렉카트,0,0,0,0,0,0,0
9752,70934,2015,0.0,5,미국,미정,드라마,토이 레이,0,0,0,0,0,0,0
9753,70936,2018,16.67,82,한국,전체관람가,다큐멘터리,윤용진,0,0,1,0,1,0,1
9754,70937,2018,57.14,90,러시아,전체관람가,드라마,올레그 트로핌,0,0,0,0,0,0,0
9755,70938,2017,0.0,91,미국,15세이상관람가,액션,스콧 윈드하우저,0,0,0,0,0,0,0
9756,70939,2018,60.0,95,미국,12세이상관람가,드라마,브래들리 월시,1,0,0,0,0,0,0
9757,70941,2018,0.0,12,한국,미정,드라마,사지웅,0,0,0,0,0,0,0
9758,70942,2017,0.0,72,미국,12세이상관람가,SF,랜달 크로프,0,0,0,0,1,0,1
9759,70943,2017,0.0,101,이탈리아,청소년관람불가,스릴러,페르잔 오즈페텍,0,1,1,0,1,0,1
9760,70944,2017,0.0,87,미국,15세이상관람가,코미디,아이토르 우리바리,0,0,0,0,0,0,0
9761,70949,2018,0.0,113,일본,15세이상관람가,코미디,스즈키 오사무,0,0,0,0,1,0,0
9762,70950,2018,40.0,96,일본,전체관람가,2019.05.16공개,이구치 노보루,0,1,1,0,1,0,1
9763,70951,2017,0.0,900,홍콩,미정,다큐멘터리,왕빙,0,0,0,0,0,0,0
9764,70952,2017,70.0,30,캐나다,아일랜드,전체관람가,데미안 오코너,1,0,0,0,0,0,0
