,movie_id,year,rating,running_time,country,age_limit,genre,director,netflix,wavve,tving,disney,watcha,coupang,naver,name,time_unit
8972,97816,2017,0.0,0,중국,미정,액션,염회강,0,1,1,0,1,0,0,도검소 : 신전지결전,0
8973,97817,2017,0.0,50,중국,15세이상관람가,액션,염회강,0,1,1,0,1,0,0,도검소: 신전지화괴,0
8974,97818,2017,0.0,50,중국,15세이상관람가,액션,염회강,0,1,1,0,1,0,0,도검소: 신전지보감,0
8975,97842,2017,0.0,100,영국,전체관람가,코미디,찰리 채플린,0,0,0,0,1,0,0,찰리 채플린 걸작선 1,1
8976,97843,2017,0.0,99,영국,전체관람가,코미디,찰리 채플린,0,0,0,0,1,0,0,찰리 채플린 걸작선 2,1
8977,97844,2017,0.0,93,영국,전체관람가,코미디,찰리 채플린,0,0,0,0,1,0,0,찰리 채플린 걸작선 3,1
8978,97846,2021,0.0,0,브라질,미정,공연,에미시다,1,0,0,0,0,0,0,에미시다: 상파울루 라이브,0
8979,97851,2021,0.0,82,캐나다,12세이상관람가,다큐멘터리,폴 켐프,0,0,0,0,1,0,0,나이키 스캔들,1
8980,97852,2019,0.0,93,영국,12세이상관람가,드라마,사라 가브론,0,0,0,0,1,0,0,고! 록스!,1
8981,97867,2020,0.0,99,한국,15세이상관람가,공포(호러),김홍익,0,1,1,0,1,0,0,CCTV,1
8982,97876,2020,0.0,0,미국,미정,다큐멘터리,없음,1,0,0,0,0,0,0,과학자를 그리다,0
8983,97903,2021,67.8,108,프랑스,청소년관람불가,,줄리아 듀코나우,0,0,0,0,1,0,0,티탄,1
8984,97904,2020,0.0,18,한국,15세이상관람가,멜로/로맨스,길이지,0,0,1,0,1,0,0,캐시,0
8985,97906,2018,0.0,85,캐나다,15세이상관람가,드라마,안토니 레프레슨,0,1,0,0,1,0,0,엄마의 죽음과 복수의 시작,1
8986,97907,2018,0.0,86,미국,15세이상관람가,스릴러,샘 얼빈,0,1,0,0,1,0,0,실종: 가출소녀 사건의 전말,1
8987,97911,2018,0.0,86,캐나다,15세이상관람가,드라마,커티스 크로포드,0,1,0,0,1,0,0,지옥의 남자친구,1
8988,97912,2019,0.0,87,영국,15세이상관람가,드라마,마이클 스콧,0,1,0,0,1,0,0,하늘에서 엄마가 보내준 선물,1
8989,97913,2019,0.0,86,미국,12세이상관람가,드라마,제프리 G. 헌트,0,1,0,0,1,0,0,감금: 알렉스 쿠퍼양의 탈출기,1
8990,97914,2019,0.0,86,미국,12세이상관람가,드라마,애덤 샐키,0,1,0,0,1,0,0,악마의 유혹: 부정입학 사건의 전말,1
8991,97931,2015,0.0,97,미국,미정,드라마,로브 라이너,0,0,1,0,0,0,0,찰리,1
8992,97942,2021,94.57,152,미국,청소년관람불가,드라마,리들리 스콧,0,0,0,1,0,0,0,라스트 듀얼: 최후의 결투,2
8993,97943,2018,0.0,110,프랑스,15세이상관람가,드라마,알렉시스 마샤릭,0,0,1,0,0,0,0,"시라노, 마이 러브",1
8994,97951,2020,40.0,99,일본,12세이상관람가,드라마,이노우에 류타,0,1,1,0,1,0,0,리스타트는 지금부터,1
8995,97953,2021,40.0,114,미국,청소년관람불가,스릴러,피터 윈더,1,0,0,0,0,0,0,애프터매스,1
8996,97954,2021,0.0,101,미국,15세이상관람가,코미디,스티븐 K. 츠치다,1,0,0,0,0,0,0,사랑의 리조트,1
8997,97955,2019,0.0,89,호주,12세이상관람가,드라마,클레이 글렌,1,0,0,0,0,0,0,두 번째 기회 - 새로운 경쟁,1
8998,97956,2021,0.0,60,미국,전체관람가,어드벤처(모험),카산드라 맥케이,1,0,0,0,0,0,0,바비와 첼시 - 사라진 생일,1
8999,97957,2020,0.0,84,미국,미정,다큐멘터리,조시 웨버,0,0,1,0,1,0,0,갱스터 오브 뉴욕,1
9000,97966,2019,0.0,86,미국,전체관람가,멜로/로맨스,에밀리 모스 윌슨,0,1,1,0,1,0,0,크리스마스에 사랑을 찾아서,1
9001,98001,2019,0.0,87,미국,15세이상관람가,액션,지오지오 세라피니,0,1,1,0,1,0,0,더 트래커,1
9002,98002,2019,0.0,102,미국,15세이상관람가,드라마,벤 맥퍼슨,0,0,1,0,1,0,1,생존: 두 개의 세계,1
9003,98003,2021,0.0,15,한국,15세이상관람가,드라마,고도원,0,0,0,0,1,0,1,오디션,0
9004,98028,2021,78.57,115,중국,12세이상관람가,코미디,한톈,0,0,0,0,0,1,0,여름날 우리,1
9005,98034,2021,64.0,129,미국,청소년관람불가,,마치아스 슈와바이어퍼,1,0,0,0,0,0,0,아미 오브 더 데드: 도둑들,2
9006,98038,2021,0.0,88,미국,전체관람가,,캘런 브렁커,0,1,0,0,0,0,0,퍼피 구조대 더 무비,1
9007,98044,2012,0.0,5,한국,전체관람가,애니메이션,이종혁,0,0,0,0,1,0,0,당신이 버린 개에 관한 이야기,0
9008,98054,2016,0.0,6,한국,전체관람가,애니메이션,김진아,0,0,0,0,1,0,0,죽음보고서,0
9009,98055,2016,0.0,4,한국,전체관람가,애니메이션,최한이,0,0,0,0,1,0,0,스물 즈음에,0
9010,98056,2016,0.0,6,한국,전체관람가,애니메이션,박영주,0,0,0,0,1,0,0,살롱 드 키티,0
9011,98065,2022,85.06,130,미국,12세이상관람가,미스터리,조던 필,0,1,1,0,0,0,1,놉,2
9012,98066,2018,0.0,90,중국,미정,어드벤처(모험),정량,0,1,0,0,1,0,0,부니베어: 애들이 줄었어요,1
9013,98084,2021,0.0,91,폴란드,청소년관람불가,액션,다니엘 마르코비츠,1,0,0,0,0,0,0,바르트코비아크,1
9014,98085,2021,0.0,101,미국,15세이상관람가,다큐멘터리,크리스틴 스톨라키스,1,0,0,0,0,0,0,프레이 어웨이,1
9015,98102,2019,0.0,66,한국,12세이상관람가,애니메이션,김호락,0,1,1,0,1,0,0,쥬라기캅스 특별판3 쥬라킹 vs 데스바리안,1
9016,98105,2020,0.0,129,중국,15세이상관람가,코미디,진사성,0,0,1,0,1,0,0,당인가탐안 3 : 밀실 살인사건,2
